42 :: 13, -4, 20, -29, 4, 2, 1, -2, 0, -3, -5, 1, 3, 3, -1, 0, 0, -3, -2, 0, 7, 1, 0, -3, -4, 3, 2, 0, -1, 6, 
41 :: 11, -4, 22, -29, 5, 2, 1, -2, 0, -2, -5, 1, 3, 3, -1, 0, 0, -4, -3, 0, 8, 1, 0, -4, -3, 4, 2, 0, -1, 6, 
39 :: 9, -3, 24, -30, 3, 0, 0, -1, 0, -1, -3, 1, 2, 2, -1, 0, 0, -3, -2, 0, 5, 0, 0, -1, -2, 3, 1, 0, 0, 5, 
38 :: 6, -3, 27, -30, 2, 0, 0, -1, 0, 0, 0, 1, 1, 0, 0, 0, 0, -2, 0, 0, 1, 0, 0, -1, -1, 1, 1, 0, 0, 3, 
32 :: 15, -4, 16, -28, 6, 2, 1, -3, 0, -3, -6, 1, 3, 4, -1, 0, 0, -4, -3, 0, 9, 1, 0, -4, -4, 4, 2, 0, -1, 6, 
28 :: 7, -3, 26, -30, 2, 0, 0, -1, 0, 0, 0, 1, 1, 0, 0, 0, 0, -2, 0, 0, 1, 0, 0, -1, -1, 2, 1, 0, 0, 3, 
27 :: 11, -4, 23, -29, 4, 1, 1, -1, 0, -2, -5, 1, 2, 3, -1, 0, 0, -3, -3, 0, 8, 1, 0, -4, -3, 4, 2, 0, -1, 5, 
20 :: 13, -4, 22, -29, 5, 2, 1, -3, 0, -3, -6, 1, 3, 3, -1, 0, 0, -4, -3, 0, 9, 1, 0, -4, -4, 4, 2, 0, -1, 6, 
19 :: 8, -4, 25, -30, 4, 1, 1, -1, 0, -1, -1, 1, 2, 2, 0, 0, 0, -2, -1, 0, 4, 0, 0, -2, -1, 3, 1, 0, -1, 3, 
12 :: 8, -3, 24, -30, 2, 0, 1, -1, 0, 0, -3, 1, 2, 2, 0, 0, 0, -2, -1, 0, 5, 0, 0, -2, -2, 2, 2, 0, -1, 4, 
7 :: 3, -21, 16, -27, 41, -33, 49, 38, 40, -22, 8, 5, -31, -30, -4, 3, -44, -19, -40, 17, -24, -20, -5, -32, -44, -32, 19, 13, -45, 3, 
6 :: 48, -16, -18, -49, 26, -20, 32, 44, 49, -41, 36, 9, 39, -10, -47, 49, 22, 44, 37, 39, 10, -34, -42, -40, -10, 19, -15, 42, -36, -48, 
1 :: 16, -27, -3, 12, 31, -42, 41, 36, -6, 37, -34, 3, 40, -16, -1, 48, 9, -48, 15, -42, -33, 38, 48, 17, -21, -5, 42, 10, -30, -2, 
