42 :: 6, -3, 27, -30, 2, 0, 0, -1, 0, 0, 0, 1, 1, 0, 0, 0, 0, -2, 0, 0, 1, 0, 0, -1, -1, 1, 1, 0, 0, 3, 
40 :: 3, -3, 30, -30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
35 :: 11, -4, 22, -29, 5, 2, 1, -2, 0, -2, -5, 1, 3, 3, -1, 0, 0, -4, -3, 0, 8, 1, 0, -4, -3, 4, 2, 0, -1, 6, 
33 :: 15, -4, 16, -28, 6, 2, 1, -3, 0, -3, -6, 1, 3, 4, -1, 0, 0, -4, -3, 0, 9, 1, 0, -4, -4, 4, 2, 0, -1, 6, 
31 :: 13, -4, 24, -29, 3, 1, 0, -2, 0, -2, -4, 1, 3, 3, -1, 0, 0, -4, -1, 0, 8, 0, 0, -2, -3, 4, 1, 0, -1, 4, 
31 :: 14, -3, 19, -29, 5, 2, 1, -3, 0, -2, -5, 1, 3, 3, -1, 0, 0, -4, -3, 0, 8, 1, 0, -3, -3, 4, 1, 0, -1, 6, 
27 :: 9, -3, 22, -29, 4, 1, 1, -2, 0, -1, -4, 1, 2, 2, 0, 0, 0, -3, -2, 0, 7, 0, 0, -3, -1, 2, 1, 0, -1, 4, 
25 :: 6, -3, 29, -30, 3, 1, 1, -1, 0, -1, -3, 1, 2, 1, 0, 0, 0, -2, -2, 0, 7, 0, 0, -2, -1, 1, 1, 0, -1, 3, 
21 :: 4, -3, 29, -30, 2, 0, 1, 0, 0, -1, -3, 1, 2, 1, 0, 0, 0, -1, -1, 0, 4, 0, 0, -1, -1, 0, 0, 0, 0, 2, 
15 :: 8, -3, 28, -30, 4, 1, 1, -1, 0, -1, -4, 1, 2, 2, 0, 0, 0, -2, -2, 0, 7, 0, 0, -2, -1, 1, 1, 0, -1, 4, 
8 :: -21, 31, -36, -21, 11, -48, 45, -41, -42, 12, 18, -50, 26, 22, 41, -41, 41, -49, -25, -32, 19, 0, 18, 16, 47, 31, -26, 10, 45, 14, 
4 :: -10, -29, 15, 13, -45, -8, 6, 15, -44, -42, 47, -12, 25, -8, -46, 3, -29, 28, -35, 19, 0, 24, -29, -34, 47, -44, -22, -22, -6, -41, 
0 :: -47, -23, 9, -16, -9, -50, -44, 38, -9, -2, 47, 10, 34, 42, -24, 41, -6, -28, 7, 22, 30, -7, -27, -22, -45, -15, 30, 10, -41, 8, 
