40 :: 6, -3, 27, -30, 2, 0, 0, -1, 0, 0, 0, 1, 1, 0, 0, 0, 0, -2, 0, 0, 1, 0, 0, -1, -1, 1, 1, 0, 0, 3, 
40 :: 11, -4, 22, -29, 5, 2, 1, -2, 0, -2, -5, 1, 3, 3, -1, 0, 0, -4, -3, 0, 8, 1, 0, -4, -3, 4, 2, 0, -1, 6, 
37 :: 15, -4, 16, -28, 6, 2, 1, -3, 0, -3, -6, 1, 3, 4, -1, 0, 0, -4, -3, 0, 9, 1, 0, -4, -4, 4, 2, 0, -1, 6, 
36 :: 9, -3, 24, -30, 3, 0, 0, -1, 0, -1, -3, 1, 2, 2, -1, 0, 0, -3, -2, 0, 5, 0, 0, -1, -2, 3, 1, 0, 0, 5, 
35 :: 3, -3, 30, -30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
32 :: 8, -4, 24, -30, 2, 1, 1, -2, 0, -1, -1, 1, 1, 3, 0, 0, 0, -3, -1, 0, 4, 0, 0, -3, -1, 3, 1, 0, 0, 5, 
32 :: 12, -4, 20, -29, 5, 2, 1, -2, 0, -3, -5, 1, 3, 3, -1, 0, 0, -4, -3, 0, 8, 1, 0, -4, -3, 4, 2, 0, -1, 6, 
18 :: 4, -3, 28, -30, 1, 0, 0, -1, 0, 0, 0, 1, 1, 0, 0, 0, 0, -2, 0, 0, 1, 0, 0, 0, -1, 1, 1, 0, 0, 3, 
18 :: 5, -3, 25, -30, 2, 1, 0, -1, 0, -1, -3, 0, 2, 0, 0, 0, 0, -2, -2, 0, 1, 0, 0, -2, -2, 2, 0, 0, 0, 3, 
12 :: 6, -3, 22, -29, 4, 0, 1, -1, 0, 0, -1, 1, 0, 1, 0, 0, 0, -3, -1, 0, 4, 1, 0, -2, -2, 2, 1, 0, 0, 1, 
6 :: -25, 19, -11, 34, 17, 44, 16, 11, 14, 6, 30, 25, 44, -1, -14, 22, 5, 25, -38, -33, 45, 4, 14, -43, 40, -43, 17, -5, -26, 29, 
6 :: -25, -10, 18, -29, -10, 30, -50, -4, 4, -37, 17, 43, -3, -24, 44, 44, -32, 26, 17, 7, 36, 46, -48, -1, 10, 17, -34, -41, -10, -26, 
0 :: -38, 9, -7, -26, -18, 30, -4, 0, 22, 28, -27, -15, 23, 33, -45, 48, 34, 41, 23, 36, 24, 1, -30, 22, -43, 34, -2, 41, -46, -42, 
